순번,쉼터명칭,도로명주소,지번주소,시설유형,이용가능인원,운영시작일,개방시간,종료시간,경도,위도,연도,X좌표,Y좌표,자치구
1264,샘물경로당,서울특별시 강동구 천중로49길 104,서울특별시 강동구 명일동 351-2,노인시설,31,2023-11-15,09:00:00,18:00:00,127.144697,37.5452416,2024,212787.1764,549535.2134,강동구
1265,명일1동주민센터,서울특별시 강동구 양재대로138길 37,서울특별시 강동구 명일동 327-5,주민센터,33,2023-11-15,09:00:00,18:00:00,127.1459727,37.5497651,2024,212899.1333,550037.442,강동구
1266,원터골경로당,서울특별시 강동구 동남로65길 46-8 ,서울특별시 강동구 명일동 236,노인시설,52,2023-11-15,09:00:00,18:00:00,127.1538345,37.548021,2024,213594.1722,549844.9755,강동구
1267,명일2동주민센터,서울특별시 강동구 상암로 260,서울특별시 강동구 명일동 223-7,주민센터,63,2023-11-15,09:00:00,18:00:00,127.1514429,37.5463169,2024,213383.1338,549655.4977,강동구
1268,고일경로당,서울특별시 강동구 아리수로64길 29,서울특별시 강동구 고덕동 536,노인시설,53,2023-11-15,09:00:00,18:00:00,127.1539277,37.5608934,2024,213600.0687,551273.6731,강동구
1269,고덕1동주민센터,서울특별시 강동구 양재대로156길 123,서울특별시 강동구 고덕동 691-6,주민센터,56,2023-11-15,09:00:00,18:00:00,127.1514998,37.5572745,2024,213386.2022,550871.6691,강동구
1270,고덕2동 경로당,서울특별시 강동구 상일로21길 14-7 ,서울특별시 강동구 고덕동 178,노인시설,37,2023-11-15,09:00:00,18:00:00,127.1696158,37.559921,2024,214986.3648,551168.1338,강동구
1271,고덕2동주민센터,서울특별시 강동구 아리수로78길 43-12 ,서울특별시 강동구 고덕동 226-4,주민센터,65,2023-11-15,09:00:00,18:00:00,127.1643675,37.5605785,2024,214522.5245,551240.2847,강동구
1272,방죽말경로당,서울특별시 강동구 아리수로72길 60-16 ,서울특별시 강동구 고덕동 253,노인시설,25,2023-11-15,09:00:00,18:00:00,127.1626859,37.5614232,2024,214373.7861,551333.778,강동구
1273,암사1동제1경로당,서울특별시 강동구 구천면로59길 19,서울특별시 강동구 암사동 425-177,노인시설,20,2023-11-15,09:00:00,18:00:00,127.1379545,37.5507763,2024,212190.4259,550148.6032,강동구
1274,장생 경로당,서울특별시 강동구 상암로23길 7-10 ,서울특별시 강동구 암사동 489-52,노인시설,31,2023-11-15,09:00:00,18:00:00,127.13376,37.54801,2024,211820.2133,549841.0414,강동구
1275,암사1동제3 경로당,서울특별시 강동구 암사13길 13-3 ,서울특별시 강동구 암사동 474-19,노인시설,31,2023-11-15,09:00:00,18:00:00,127.13672,37.55258,2024,212081.0475,550348.6331,강동구
